id,GLOBAL_SCORE
EK202310003556,129
EK202310170625,129
EK202310167359,129
EK202310118370,129
EK202320006361,129
EK202310003542,129
EK202310125266,129
EK202310144740,129
EK202310137443,129
EK202310159067,129
EK202310245067,129
EK202310240556,129
EK202310166743,129
EK202310247454,129
EK202310215702,129
EK202310142190,129
EK202310205417,129
EK202310119601,129
EK202310190356,129
EK202310158758,129
EK202310145496,129
EK202310164763,129
EK202310200188,129
EK202310238803,129
EK202320005607,129
EK202310225681,129
EK202310127174,129
EK202310204317,129
EK202310179355,129
EK202310176524,130
EK202310237228,129
EK202310172549,129
EK202310168863,129
EK202310185904,129
EK202310133615,129
EK202310122063,129
EK202310121770,129
EK202310125590,129
EK202310172269,129
EK202310147894,129
EK202310137986,129
EK202310150838,129
EK202310104915,129
EK202310170090,129
EK202310165637,129
EK202310134467,129
EK202310182637,130
EK202310112116,129
EK202310241220,129
EK202310103801,129
EK202310177448,129
EK202310157860,129
EK202310211985,129
EK202310232907,129
EK202310162917,129
EK202310211786,129
EK202310132171,129
EK202310153694,129
EK202310174960,129
EK202310121096,129
EK202310222475,129
EK202310146254,129
EK202310111466,129
EK202310004385,129
EK202310108961,129
EK202310203170,129
EK202310161424,130
EK202310206583,129
EK202310138840,129
EK202310221976,129
EK202310143972,129
EK202310175420,129
EK202310227655,129
EK202310163389,129
EK202310239480,129
EK202310146467,129
EK202310162597,129
EK202310194862,129
EK202310152448,129
EK202310245431,129
EK202310206822,129
EK202310166559,130
EK202310221701,129
EK202310231403,129
EK202310156027,129
EK202310135956,129
EK202310183176,129
EK202310206055,129
EK202310167360,129
EK202310142701,129
EK202310156629,129
EK202310241352,129
EK202310123587,129
EK202310003639,129
EK202310158269,129
EK202320007090,129
EK202310111707,129
EK202310104096,129
EK202310235404,129
EK202310108783,129
EK202310116298,129
EK202310156281,129
EK202310164483,129
EK202310108212,129
EK202310233950,129
EK202310157041,129
EK202310104522,129
EK202310175972,129
EK202310225965,130
EK202310138403,129
EK202310234452,129
EK202310104614,129
EK202310117970,129
EK202310128727,129
EK202310190230,129
EK202310201465,129
EK202310197534,129
EK202310171846,129
EK202310193751,129
EK202310242967,129
EK202310112852,129
EK202310132804,129
EK202310127612,129
EK202310136082,129
EK202310186665,129
EK202310156519,129
EK202310108430,129
EK202310164930,129
EK202310153971,129
EK202310129412,129
EK202310124383,129
EK202310215858,129
EK202310104131,129
EK202310185040,129
EK202310119251,129
EK202310191724,129
EK202310149922,129
EK202310176193,129
EK202310204311,129
EK202310248324,129
EK202310120496,129
EK202310233548,129
EK202310219178,129
EK202310114723,129
EK202310185832,129
EK202310106587,129
EK202310239252,129
EK202310208710,129
EK202310244056,129
EK202310223702,129
EK202310236969,129
EK202310196070,129
EK202310227710,129
EK202310119702,129
EK202310143351,129
EK202310144967,129
EK202310207097,129
EK202310193281,129
EK202310223068,129
EK202310158743,129
EK202310142353,129
EK202310154024,129
EK202310136326,129
EK202320006526,129
EK202310240160,129
EK202310230270,129
EK202310209591,129
EK202310201937,129
EK202310138686,129
EK202310125946,129
EK202310112949,129
EK202310128660,130
EK202310223565,129
EK202310155372,129
EK202310229467,129
EK202310232289,129
EK202310142439,129
EK202310128595,138
EK202310228661,129
EK202310220811,129
EK202310104677,129
EK202310108708,129
EK202310235044,129
EK202310141363,129
EK202310174855,129
EK202310154755,129
EK202310157326,129
EK202310228659,129
EK202310215026,129
EK202310177129,129
EK202310178830,129
EK202310222959,129
EK202320007347,129
EK202310153807,129
EK202310165563,129
EK202310240070,129
EK202310171642,129
EK202310221419,129
EK202310210258,129
EK202310108225,129
EK202310156515,129
EK202320006021,129
EK202310214746,129
EK202310166648,130
EK202310243041,129
EK202310227731,129
EK202310118513,129
EK202310240129,129
EK202310140813,129
EK202310181628,129
EK202310126085,129
EK202310246101,129
EK202310113312,129
EK202310217968,129
EK202310213114,129
EK202310219800,129
EK202310184495,129
EK202310119316,129
