id,GLOBAL_SCORE
EK202310003556,130.12
EK202310170625,142.14
EK202310167359,144.87
EK202310118370,132.19
EK202320006361,138.24
EK202310003542,134.53
EK202310125266,137.04
EK202310144740,139.9
EK202310137443,136.74
EK202310159067,151.76
EK202310245067,133.75
EK202310240556,131.67
EK202310166743,130.76
EK202310247454,137.24
EK202310215702,141.52
EK202310142190,151.1
EK202310205417,136.78
EK202310119601,136.96
EK202310190356,134.82
EK202310158758,137.65
EK202310145496,142.34
EK202310164763,149.29
EK202310200188,138.81
EK202310238803,146.47
EK202320005607,145.3
EK202310225681,134.45
EK202310127174,136.94
EK202310204317,140.88
EK202310179355,136.47
EK202310176524,150.53
EK202310237228,143.5
EK202310172549,162.32
EK202310168863,140.32
EK202310185904,152.78
EK202310133615,138.7
EK202310122063,127.56
EK202310121770,143.63
EK202310125590,139.02
EK202310172269,137.35
EK202310147894,140.06
EK202310137986,135.73
EK202310150838,143.69
EK202310104915,143.59
EK202310170090,129.87
EK202310165637,142.0
EK202310134467,135.4
EK202310182637,149.09
EK202310112116,137.69
EK202310241220,146.59
EK202310103801,136.75
EK202310177448,140.01
EK202310157860,165.41
EK202310211985,133.9
EK202310232907,148.53
EK202310162917,137.82
EK202310211786,133.65
EK202310132171,160.5
EK202310153694,149.0
EK202310174960,164.76
EK202310121096,135.67
EK202310222475,133.82
EK202310146254,150.2
EK202310111466,141.35
EK202310004385,150.03
EK202310108961,143.27
EK202310203170,136.96
EK202310161424,166.91
EK202310206583,151.48
EK202310138840,138.64
EK202310221976,136.3
EK202310143972,146.1
EK202310175420,131.5
EK202310227655,144.27
EK202310163389,139.8
EK202310239480,131.49
EK202310146467,143.18
EK202310162597,139.68
EK202310194862,139.12
EK202310152448,149.22
EK202310245431,145.11
EK202310206822,162.7
EK202310166559,168.26
EK202310221701,157.27
EK202310231403,125.49
EK202310156027,130.17
EK202310135956,149.54
EK202310183176,130.44
EK202310206055,172.13
EK202310167360,149.36
EK202310142701,138.08
EK202310156629,159.93
EK202310241352,144.31
EK202310123587,157.43
