id,GLOBAL_SCORE
EK202310003556,-93870795812898.02
EK202310170625,43401915142767.055
EK202310167359,29458794841033.973
EK202310118370,1473392279012.5173
EK202320006361,-100883196678757.4
EK202310003542,40822527233381.64
EK202310125266,13770835039342.566
EK202310144740,-38242760240997.87
EK202310137443,65974112311638.78
EK202310159067,21260710392621.914
EK202310245067,-2067620378925.4856
EK202310240556,-72522777230046.6
EK202310166743,4261672564750.5923
EK202310247454,-106809271465880.06
EK202310215702,9815701507710.26
EK202310142190,65588411212146.45
EK202310205417,-82567974168539.33
EK202310119601,-10030244194496.258
EK202310190356,8128650612920.515
EK202310158758,56014897912157.85
EK202310145496,-154405560219293.56
EK202310164763,62967505117301.28
EK202310200188,55697349875824.26
EK202310238803,28210402953625.434
EK202320005607,-70762972748364.25
EK202310225681,-10937754535551.977
EK202310127174,-48146527252048.27
EK202310204317,-3773900457252.015
EK202310179355,-35263098539962.52
EK202310176524,48176305280160.66
EK202310237228,-28234769733899.15
EK202310172549,44901513751469.13
EK202310168863,32882889338416.848
EK202310185904,61238294440814.87
EK202310133615,35355051807740.77
EK202310122063,-47529969946138.164
EK202310121770,-88280729416819.34
EK202310125590,-102696584683006.23
EK202310172269,-59187796647220.96
EK202310147894,-76262017024153.6
EK202310137986,-4682965521108.574
EK202310150838,-66770431991781.07
EK202310104915,-123138429140142.42
EK202310170090,-62787738159686.02
EK202310165637,-9574333187881.764
EK202310134467,51138286341704.195
EK202310182637,27765673691072.35
EK202310112116,13506378968670.307
EK202310241220,22685218492464.55
EK202310103801,11979955897273.146
EK202310177448,13548718801084.377
EK202310157860,38500273552576.91
EK202310211985,13257490609163.867
EK202310232907,-173540783914533.47
EK202310162917,67283546392262.04
EK202310211786,22792397582925.453
EK202310132171,-35899357084575.305
EK202310153694,-7476934388717.378
EK202310174960,7954521254108.257
EK202310121096,-56778725896491.18
EK202310222475,-121004018603559.58
EK202310146254,2120329869406.9382
EK202310111466,-2372587517164.6206
EK202310004385,22486894738443.586
EK202310108961,27571554024875.277
EK202310203170,-16008599328829.586
EK202310161424,79664756671337.2
EK202310206583,67122977819069.39
EK202310138840,-24841382838392.664
EK202310221976,72414909086530.22
EK202310143972,6249860333642.587
EK202310175420,1289810277312.614
EK202310227655,-28551215209035.336
EK202310163389,-16421924169053.387
EK202310239480,24696610332657.613
EK202310146467,-8987721843086.537
EK202310162597,-8755210153653.411
EK202310194862,-9367952633957.021
EK202310152448,39478107653907.12
EK202310245431,-21707981228283.312
EK202310206822,40314848937498.23
EK202310166559,22164800207189.0
EK202310221701,73305169835048.36
EK202310231403,30743332269432.016
EK202310156027,46487535936166.43
EK202310135956,-42072696428831.77
EK202310183176,-6688301491821.714
EK202310206055,13873198595497.885
EK202310167360,-74676991892462.94
EK202310142701,59765208418231.305
EK202310156629,76633912840879.8
EK202310241352,80891906354339.19
EK202310123587,21461612396848.742
EK202310003639,11494486945380.232
EK202310158269,24918466455153.23
EK202320007090,-120970856008615.92
EK202310111707,-106867080508921.62
EK202310104096,65162344493355.18
EK202310235404,-168843461622461.66
EK202310108783,38119376118742.15
